userID,tmdbID,interaction,timestamp
1,8844,1,02/04/2005 23:53
1,902,1,02/04/2005 23:31
1,63,1,02/04/2005 23:33
1,807,1,02/04/2005 23:32
1,629,1,02/04/2005 23:29
1,33542,1,10/09/2004 3:09
1,11780,1,10/09/2004 3:08
1,2292,1,02/04/2005 23:46
1,628,1,02/04/2005 23:35
1,11,1,02/04/2005 23:33
1,101,1,02/04/2005 23:31
1,680,1,02/04/2005 23:32
1,278,1,02/04/2005 23:33
1,1587,1,10/09/2004 3:08
1,854,1,02/04/2005 23:53
1,78,1,02/04/2005 23:30
1,280,1,02/04/2005 23:45
1,274,1,02/04/2005 23:31
1,8840,1,10/09/2004 3:08
1,630,1,10/09/2004 3:07
1,62,1,10/09/2004 3:06
1,0,1,02/04/2005 23:53
2,15602,1,21/11/2000 15:34
2,2054,1,21/11/2000 15:29
2,755,1,21/11/2000 15:31
2,197,1,21/11/2000 15:30
2,10954,1,21/11/2000 15:32
2,11,1,21/11/2000 15:36
2,4476,1,21/11/2000 15:32
2,2259,1,21/11/2000 15:29
2,329,1,21/11/2000 15:32
2,78,1,21/11/2000 15:36
2,280,1,21/11/2000 15:30
2,10987,1,21/11/2000 15:36
2,213,1,21/11/2000 15:31
2,62,1,21/11/2000 15:36
3,862,1,11/12/1999 13:36
3,12665,1,14/12/1999 12:54
3,63,1,11/12/1999 13:14
3,629,1,11/12/1999 13:13
3,10329,1,14/12/1999 12:54
3,9482,1,14/12/1999 12:54
3,9344,1,11/12/1999 13:32
3,9348,1,14/12/1999 12:52
3,2292,1,11/12/1999 13:20
3,11,1,11/12/1999 13:09
3,2164,1,14/12/1999 12:51
3,278,1,11/12/1999 13:09
3,193,1,14/12/1999 12:53
3,1587,1,11/12/1999 13:36
3,11566,1,11/12/1999 13:21
3,9739,1,14/12/1999 12:53
3,5503,1,11/12/1999 13:16
3,329,1,14/12/1999 12:50
3,2246,1,11/12/1999 13:30
3,25557,1,14/12/1999 12:53
3,78,1,11/12/1999 13:14
3,280,1,11/12/1999 7:25
3,274,1,11/12/1999 13:16
3,11827,1,11/12/1999 13:41
3,11687,1,11/12/1999 13:01
3,602,1,14/12/1999 12:50
3,9327,1,14/12/1999 12:49
3,238,1,11/12/1999 13:01
3,567,1,11/12/1999 13:04
3,3078,1,11/12/1999 13:04
3,630,1,11/12/1999 13:05
3,62,1,11/12/1999 13:10
3,1585,1,11/12/1999 13:11
3,10331,1,14/12/1999 12:47
4,949,1,24/08/1996 9:33
4,710,1,24/08/1996 9:28
4,9273,1,24/08/1996 9:29
4,63,1,24/08/1996 9:31
4,1572,1,24/08/1996 9:27
4,193,1,24/08/1996 9:28
4,10731,1,24/08/1996 9:31
4,13,1,24/08/1996 9:28
4,854,1,24/08/1996 9:29
4,9359,1,24/08/1996 9:33
4,36593,1,24/08/1996 9:34
4,1637,1,24/08/1996 9:29
4,36955,1,24/08/1996 9:27
4,306,1,24/08/1996 9:30
4,6075,1,24/08/1996 9:35
4,11566,1,24/08/1996 9:31
4,37233,1,24/08/1996 9:29
4,329,1,24/08/1996 9:29
4,12121,1,24/08/1996 9:39
4,5550,1,24/08/1996 9:38
4,8005,1,24/08/1996 9:34
4,11236,1,24/08/1996 9:37
4,9057,1,24/08/1996 9:40
4,771,1,24/08/1996 9:30
4,280,1,24/08/1996 9:29
4,408,1,24/08/1996 9:34
4,10895,1,24/08/1996 9:37
4,9802,1,24/08/1996 9:35
5,8844,1,25/12/1996 15:26
5,9087,1,25/12/1996 15:29
5,4584,1,25/12/1996 15:15
5,11359,1,26/12/1996 16:26
5,2054,1,25/12/1996 15:15
5,9614,1,25/12/1996 15:16
5,197,1,25/12/1996 15:26
5,9302,1,25/12/1996 15:16
5,11000,1,25/12/1996 15:15
5,568,1,25/12/1996 15:25
5,1909,1,25/12/1996 15:27
5,522,1,25/12/1996 15:28
5,11,1,25/12/1996 15:26
5,1945,1,25/12/1996 15:26
5,2164,1,26/12/1996 16:27
5,278,1,25/12/1996 15:26
5,10731,1,25/12/1996 15:28
5,8587,1,25/12/1996 15:26
5,854,1,25/12/1996 15:27
5,9359,1,25/12/1996 15:27
5,36593,1,25/12/1996 15:26
5,8987,1,26/12/1996 16:24
5,1637,1,25/12/1996 15:28
5,36955,1,25/12/1996 15:25
5,11566,1,25/12/1996 15:26
5,37233,1,25/12/1996 15:28
5,5503,1,25/12/1996 15:25
5,7984,1,25/12/1996 15:27
5,329,1,25/12/1996 15:25
5,10502,1,25/12/1996 15:26
5,788,1,25/12/1996 15:26
5,9800,1,25/12/1996 15:28
5,1245,1,25/12/1996 15:29
5,14291,1,25/12/1996 15:27
5,11236,1,25/12/1996 15:29
5,251,1,25/12/1996 15:26
5,812,1,25/12/1996 15:28
5,280,1,25/12/1996 15:26
5,581,1,25/12/1996 15:25
5,274,1,25/12/1996 15:25
5,408,1,26/12/1996 16:26
5,10020,1,25/12/1996 15:25
5,275,1,25/12/1996 15:16
5,19042,1,25/12/1996 15:17
5,954,1,25/12/1996 15:15
5,3065,1,25/12/1996 15:17
5,8866,1,25/12/1996 15:16
5,0,1,25/12/1996 15:27
5,664,1,25/12/1996 15:15
5,602,1,25/12/1996 15:15
5,9327,1,25/12/1996 15:16
5,3595,1,25/12/1996 15:17
6,862,1,13/03/1997 17:50
6,15602,1,13/03/1997 17:52
6,11860,1,13/03/1997 17:52
6,4584,1,13/03/1997 17:50
6,11448,1,13/03/1997 17:54
6,2054,1,13/03/1997 17:50
6,9101,1,13/03/1997 17:56
6,9302,1,13/03/1997 17:58
6,11000,1,13/03/1997 17:50
6,11,1,13/03/1997 17:54
6,2320,1,13/03/1997 17:52
6,1592,1,13/03/1997 17:56
6,954,1,13/03/1997 17:50
6,8840,1,13/03/1997 17:54
6,8866,1,13/03/1997 17:54
6,9304,1,13/03/1997 17:58
6,9802,1,13/03/1997 17:52
6,664,1,13/03/1997 17:50
